name,rooms,area,district,floor,uprice,sprice,age
古美西路316弄,2,54.63,40,6,55464,303,21
彭顺小区,2,44.53,72,6,52099,232,25
紫荆新苑,4,93.3,8,6,87888,820,19
久阳滨江公寓,3,78.0,166,25,80128,625,11
公园3000黄兴花园,4,110.98,181,7,78392,870,15
国顺路310弄,3,50.49,16,6,71301,360,37
市京一村,3,60.67,10,6,59337,360,22
金汇名人苑三街坊,6,156.48,155,7,47929,750,21
万科优诗美地,4,85.0,0,11,62352,530,17
竹园高层,3,70.04,118,22,67104,470,24
潍坊八村,2,40.8,121,6,83333,340,33
文华苑(宝山),2,55.22,53,6,57044,315,19
绿地蔷薇九里(公寓),5,109.73,98,11,41921,460,6
龙华雅居,5,107.91,183,7,72282,780,19
中华别墅,4,81.0,142,4,79012,640,32
中福花苑,5,68.33,141,15,100980,690,14
保利西子湾,2,59.7,98,18,44891,268,7
未来域,5,133.76,3,18,64294,860,11
徐家汇花园,5,158.97,73,26,95615,1520,14
新昌里公寓,5,94.7,7,6,78141,740,12
阳城世家苑,4,96.82,165,14,70233,680,10
银都一村,2,35.15,72,6,53485,188,22
四元路20弄,2,41.85,93,6,35364,148,23
绿地蔷薇九里(别墅),5,131.0,98,3,53435,700,7
茶陵小区,2,45.37,81,4,62816,285,59
上海阳城,4,93.2,104,6,67381,628,14
华一新城,3,80.0,40,5,74375,595,16
三湘盛世花园,4,103.33,70,14,56130,580,11
南园小区,3,64.52,79,29,73620,475,23
民悦苑,3,74.42,70,6,49045,365,19
宣化路227号,3,68.53,11,7,83175,570,27
淞南五村,3,69.44,115,6,43202,300,20
顺驰美兰湖,4,95.29,130,6,36729,350,10
上南一村,3,67.27,7,6,62137,418,35
东方曼哈顿,4,85.11,73,37,123369,1050,16
双山小区,1,34.85,122,6,53084,185,22
金沙雅苑(三期),4,96.63,161,18,77098,745,13
静安新城四区,3,86.05,170,24,55200,475,19
百花村,4,74.83,82,6,78845,590,36
世华佳苑,5,135.0,97,6,46518,628,12
彭新小区,2,42.65,72,13,55803,238,30
共富一村,3,75.6,23,6,40343,305,20
新凯家园,3,77.78,111,6,39856,310,11
嘉嘉大楼,5,146.0,68,17,95205,1390,17
蒋家桥小区,1,38.92,89,6,71428,278,31
新凯家园,5,93.12,111,5,34901,325,11
嘉汇广场,5,145.0,73,33,60689,880,20
曹杨九村,2,42.93,91,6,64057,275,39
欧阳路317号,2,42.66,180,6,70323,300,19
缘圆宝邸,4,72.91,109,7,50747,370,9
宛南二村,2,44.78,183,4,69227,310,59
绿洲康城亲水湾(东区),5,130.23,77,14,52215,680,7
中远两湾城,5,121.95,12,30,72160,880,14
金钟小区,2,37.46,27,6,58729,220,22
平阳新村四街坊,3,60.63,40,6,52779,320,19
银都新村(1至7区),2,42.7,173,6,48009,205,22
泰山一村,2,45.98,122,6,56546,260,35
里昂花园,5,160.86,39,11,55949,900,21
密二小区,3,55.57,89,6,69281,385,37
爱邦大厦,4,96.41,73,29,47609,459,28
金泰园,2,48.22,116,5,40439,195,36
裕德大厦,4,95.61,73,24,83568,799,20
昌四小区,1,29.0,7,6,70689,205,23
西湖新村,3,51.5,94,5,31067,160,8
红旗四街坊,3,77.2,133,6,36269,280,21
太浜巷小区,2,43.52,22,6,60891,265,30
高境一村,3,65.65,178,6,50266,330,22
梧桐城邦(二期),3,54.09,53,6,57311,310,9
御翠豪庭,4,104.28,39,27,124664,1300,9
永兆豪庭,5,135.01,119,18,79994,1080,9
沧源小区,2,40.15,133,6,45579,183,22
未来域,5,128.83,3,7,64425,830,11
北蒙三小区,2,42.6,17,7,83333,355,28
静安风华苑,4,122.77,90,32,77380,950,12
新世纪广场,5,168.0,142,19,52261,878,22
金沙雅苑(四期),4,111.02,161,11,66654,740,11
长中小区,3,56.26,82,6,70920,399,27
生安花苑,5,205.07,118,11,73145,1500,16
新长征花苑,3,64.96,161,6,59267,385,20
平阳三街坊,4,70.2,40,6,68376,480,14
翔殷路491弄,1,33.18,181,6,63291,210,24
嘉和阳光城,5,130.57,15,14,48249,630,11
彭浦家园,5,137.24,72,18,47362,650,16
汇元坊,5,131.53,181,7,70706,930,15
蒙西小区,1,37.74,17,7,82140,310,23
民主花园,3,73.68,70,18,48859,360,21
桃林一小区,2,48.01,118,6,114559,550,22
华侨城,4,86.41,160,34,111098,960,3
新梅绿岛苑,4,91.24,24,18,56992,520,10
武泰公寓,5,122.1,35,24,81900,1000,17
控江东三村,2,39.36,181,6,62245,245,24
逸居苑,4,77.56,115,6,58664,455,9
富源公寓,4,105.04,79,28,79017,830,20
慧芝湖花园,4,109.45,55,31,84970,930,10
旺族家园,4,110.36,63,6,37151,410,16
粤秀苑,4,74.15,55,7,60687,450,20
华敏世纪广场,5,137.49,158,18,70550,970,16
枫林新村,3,53.57,81,5,74668,400,40
潍坊四村,2,40.63,121,6,72606,295,35
今达花园,4,112.27,154,11,65021,730,16
仁恒滨江园,4,83.78,166,26,125328,1050,16
四和花园,3,57.72,90,25,107415,620,23
澳门小区,2,30.75,160,6,97560,300,30
辽源三村,1,31.7,171,6,63091,200,30
凤城五村,2,38.53,80,6,64884,250,29
南湖新村,3,53.25,94,6,43192,230,21
同济路60弄,2,45.06,116,5,37727,170,32
新凯家园,5,92.94,111,5,36044,335,11
乐山大楼,3,63.92,73,24,78222,500,24
杜鹃园,3,63.9,65,6,69640,445,27
上海绿城,2,64.78,96,22,108058,700,10
橡胶小区,2,47.74,73,24,79597,380,24
竹园高层,3,64.56,118,22,75123,485,28
香樟苑(浦东),3,65.29,3,6,55138,360,20
康怡苑,3,70.32,160,26,73947,520,27
甘泉二村,3,52.93,122,6,53466,283,23
上南十村,3,49.23,7,6,63985,315,26
平型关路230弄,3,58.44,164,6,53901,315,30
吴兴路30弄,4,67.99,143,6,126489,860,34
好世凤凰城,7,173.99,173,6,54485,948,14
荣乐三村,5,76.23,100,6,36075,275,25
吉浦路615弄,3,58.45,178,6,52181,305,21
锦绿新城,4,100.82,106,32,76869,775,15
虹桥豪苑,5,178.82,142,37,83883,1500,11
花园城,4,94.98,25,6,81069,770,15
三林安居苑,4,73.0,3,5,56164,410,19
经纬阳光水岸家园(一期),2,60.79,4,8,53462,325,12
延吉五村,3,50.0,181,6,64000,320,32
四季全景台,6,212.65,136,21,95462,2030,12
西镇小区(浦东),2,38.79,112,6,64449,250,26
愚园路488弄,2,48.35,169,6,98241,475,34
宝宸怡景园,4,87.62,24,14,62771,550,8
桃浦二村永汇新苑,5,95.41,103,6,45068,430,12
静安枫景苑,8,249.45,108,38,104229,2600,12
中芯花园(公寓),5,129.43,71,15,58718,760,14
奔腾新干线,2,37.15,145,32,74024,275,14
控江一村,3,63.0,80,5,95238,600,18
昌四小区,2,36.47,7,6,62517,228,23
新凯家园,5,97.93,111,11,37271,365,11
梅园三村,3,52.56,118,5,84665,445,34
茅台雅苑,3,69.94,20,24,74349,520,25
丰庄十四街坊,2,44.74,13,6,50290,225,19
三湘四季花城,4,106.0,98,14,46981,498,11
竹园新村(浦东),3,53.54,118,6,84049,450,30
乐山一村,3,74.81,73,24,82876,620,26
康平小区,1,35.6,72,6,49157,175,31
复元坊,1,33.12,145,6,74879,248,24
仙逸小区,2,40.0,20,6,62500,250,33
伟业金锦苑一村,5,106.91,154,6,53315,570,14
凯旋花苑,4,113.18,73,28,92772,1050,18
远虹大厦,3,70.97,14,30,64816,460,22
海华花园,5,117.89,79,35,78038,920,21
中房公寓,3,58.44,109,7,47912,280,12
新家坡美树馆,5,160.16,68,30,84290,1350,18
菊园,5,120.08,166,34,84110,1010,16
金都花好悦园,3,71.12,173,7,43588,310,20
金球花园,5,113.27,0,7,46790,530,20
南园新村,2,38.04,79,6,87276,332,29
开鲁三村,3,62.21,10,6,57064,355,26
曹杨九村,3,47.8,91,6,62761,300,39
金光小区,2,48.68,3,6,61626,300,20
平顺小区,2,53.61,72,6,52229,280,32
赤峰小区,3,69.05,89,24,69514,480,29
控江四村,2,33.27,181,6,64622,215,27
闻喜小区,2,45.0,72,6,52222,235,31
荷三小区,3,67.39,154,6,54162,365,23
罗山五村,2,42.3,153,6,57919,245,27
锦泰苑,4,83.13,4,6,43907,365,17
三林新村(永泰路468弄),4,83.73,3,18,52549,440,8
新梅公寓,5,130.9,40,7,48892,640,18
龙柏二村,3,52.3,184,6,61185,320,23
中凯城市之光(静安),3,79.47,35,34,96891,770,14
由由一村,4,75.21,28,6,57173,430,23
人乐一村,3,55.65,100,6,38274,213,36
海华花园,5,115.22,79,33,77243,890,23
荣丰花园,2,46.17,9,6,74940,346,22
徐家汇花园,4,118.85,73,22,90870,1080,17
苏家巷小区,1,34.37,6,6,71283,245,31
新凯家园,5,93.12,111,5,34149,318,11
平顺小区,1,28.31,72,6,56517,160,31
六荷苑小区,3,63.71,154,6,52582,335,20
控江路640弄,2,51.8,80,6,57915,300,28
新湖明珠城,3,58.43,106,28,91562,535,13
界龙阳光苑,4,113.31,63,4,38831,440,13
飞虹路723弄,3,46.0,42,6,67826,312,36
上青佳园,5,144.12,160,16,67860,978,16
浦发绿城,4,74.31,3,6,51137,380,13
达安花园,4,87.11,90,29,88393,770,13
培花七村,3,49.84,28,6,62199,310,21
龙南三四村,3,68.5,183,6,62043,425,24
民心小区,1,31.28,11,6,86317,270,24
永新花苑,5,155.03,73,33,90305,1400,18
万航小区,3,62.54,11,25,71953,450,22
双阳一村,2,47.7,42,6,69182,330,24
车站新村(普陀),3,83.59,127,18,54432,455,24
控江四村,2,36.25,181,6,62068,225,33
南杨小区(长清路),2,40.86,3,6,58737,240,22
竹园新村(浦东),3,49.99,118,6,78015,390,28
彭五小区,2,48.02,72,5,53727,258,36
绿洲城市花园,4,103.46,160,9,81674,845,19
芳华路253弄,4,72.65,28,6,57811,420,22
国年路135弄,3,67.22,16,6,74085,498,36
和合新村,5,94.61,77,6,50523,478,11
德华一村,5,102.88,38,6,39366,405,21
海滨二村(宝山),3,47.38,116,6,37990,180,35
海滨八村,4,78.75,116,6,45079,355,26
南辉小区,3,57.55,11,7,92962,535,22
名都城(公寓),5,155.0,157,8,63225,980,19
松花一村,2,50.93,181,6,57922,295,32
云雾山路9弄,2,48.6,11,6,68930,335,30
西凌新邨,1,27.66,141,6,86767,240,27
曹杨二村,1,34.62,91,6,63547,220,34
高南新村,3,68.87,52,6,45738,315,22
平江路49弄,2,47.34,81,5,80270,380,39
佳安公寓,5,167.37,73,34,64826,1085,17
长源小区,3,48.8,11,6,76434,373,22
中星海上景庭,6,160.31,112,16,79845,1280,11
临沂二村,2,51.5,37,6,61165,315,27
乐山八九村,3,74.43,73,18,79269,590,26
东碧林湾,6,190.0,0,17,63684,1210,9
美丽华花园(公寓),6,130.88,39,21,64180,840,21
虹梅南路96弄,4,74.74,29,6,56863,425,23
田林六村,2,40.0,123,6,67000,268,34
愉景华庭,5,108.13,2,18,73060,790,12
恒大华城梅山苑,2,48.11,3,6,66514,320,21
临沂一村,2,52.36,37,6,52521,275,31
昆阳小区,4,58.61,133,6,33270,195,29
桃浦七村雪松苑,2,43.0,103,6,40697,175,22
华苑小区,1,31.0,11,5,74193,230,37
风度国际,5,152.02,155,11,74990,1140,12
国定路600弄,2,50.36,16,6,60166,303,30
广中三村,1,33.02,25,5,59055,195,60
汇翠花园,5,178.22,73,34,87532,1560,14
协诚中心大厦,6,134.93,6,26,48914,660,13
美丽星城,4,86.99,15,16,42533,370,13
