name,rooms,area,district,floor,uprice,sprice,age
慧芝湖花园,4,114.0,大宁,25,85964,980,10
通河一村,2,45.47,张庙,6,51682,235,23
莱茵半岛,5,125.0,中原,8,65600,820,15
金沙雅苑(四期),4,93.62,长征,17,71031,665,11
海滨二村(宝山),2,46.72,淞宝,6,42808,200,36
昭通路17号,3,53.91,南京东路,5,83472,450,42
康平小区,1,27.8,彭浦,6,59352,165,34
悦达花苑,5,110.88,中山公园,9,81168,900,18
文宝苑,4,76.19,顾村,11,49875,380,9
银都新村(1至7区),3,65.44,颛桥,6,42023,275,22
金沙雅苑(四期),4,89.0,长征,18,82584,735,9
新泾四村,3,48.52,北新泾,6,64921,315,26
汇翠花园,6,194.3,徐家汇,34,72053,1400,14
兴南花园,5,153.24,斜土路,24,68519,1050,22
华升新苑,5,143.77,周家嘴路,17,83466,1200,13
浣纱五村,3,69.84,黄兴公园,6,62285,435,21
安图新村,1,33.0,黄兴公园,5,66666,220,39
南方新村,3,62.52,古美,6,58381,365,22
古美小区,3,59.82,古美,6,47642,285,27
同兴大楼,1,29.0,南京东路,6,88965,258,37
圣马丽诺桥语,8,355.58,唐镇,2,61870,2200,12
宝钢九村,3,63.0,淞宝,13,42063,265,29
金羽名庭,3,75.73,洋泾,11,81605,618,13
万里欣苑,4,96.05,万里,18,72358,695,11
樱花园(徐汇),3,50.41,康健,6,60503,305,25
新梅公寓,5,119.92,古美,7,50033,600,18
控江七村,2,29.53,控江路,5,71114,210,33
电机一二村,2,47.78,老闵行,5,33486,160,40
平吉二村,2,51.0,古美,6,51372,262,20
上南六村,1,34.6,世博,5,63583,220,31
开鲁三村,3,75.54,中原,18,50966,385,17
鑫国家园,6,164.43,徐家汇,24,94265,1550,16
中海万锦城(一期),4,90.07,不夜城,28,93038,838,7
新梅莘苑,4,92.0,莘庄,32,67391,620,12
博三小区,3,62.7,金桥,6,58213,365,20
宝钢八村,2,33.03,淞宝,5,43899,145,39
丽景新苑,3,66.77,丰庄,5,53167,355,18
锦灏佳园,4,101.97,闸北公园,18,69137,705,15
局南村,2,44.49,西藏北路,6,65183,290,39
红旗四街坊,3,52.93,老闵行,6,39675,210,27
中远两湾城,4,97.43,中远两湾城,30,71846,700,14
上大阳光乾清园,5,112.0,上大,6,40625,455,14
彭五小区,1,32.0,彭浦,5,51562,165,27
龙南三四村,3,62.66,龙华,6,63198,396,24
金泰小区,3,63.21,金桥,7,59326,375,21
镇宁路465弄,2,46.88,镇宁路,6,86390,405,30
田林十三村,2,34.4,田林,6,87209,300,31
日月新殿,5,111.77,三林,6,60749,679,15
曹家巷小区,3,51.56,武宁,6,85337,440,27
上南九村,3,55.33,世博,6,65064,360,31
丁香大楼,3,79.0,镇宁路,18,105063,830,25
田林十四村,2,37.6,田林,6,85106,320,30
新丰小区,2,46.43,江宁路,7,86151,400,22
延吉七村,3,66.07,黄兴公园,14,56001,370,30
虹桥豪苑,4,107.71,虹桥,37,106768,1150,11
金日世家,4,110.32,蓬莱公园,30,94724,1045,11
海联公寓,3,95.45,西藏北路,26,75432,720,26
彭新小区,2,47.72,彭浦,6,52808,252,32
微山新村,2,40.72,塘桥,5,65078,265,38
锦秋花园(别墅),6,168.23,上大,3,47553,800,18
浣纱四村,3,59.2,黄兴公园,6,63344,375,22
翠竹苑,4,78.6,三林,6,54071,425,20
乐山大楼,3,61.49,徐家汇,24,80988,498,24
龙柏七村,2,50.26,龙柏,5,61679,310,23
民心小区,1,31.92,中山公园,6,77694,248,24
华光花园,5,138.0,金虹桥,14,61594,850,20
丰镇路16弄,3,61.17,江湾镇,6,53948,330,30
美兰湖岭域,6,92.29,罗店,6,63387,585,7
黄陵小区,3,48.0,甘泉宜川,6,59375,285,22
延吉四村,3,50.14,黄兴公园,6,63821,320,32
临沂一村,2,39.32,南码头,6,49593,195,32
通河二村,2,39.41,通河,6,51256,202,25
瑞冬小区,2,44.63,北新泾,6,61617,275,23
引翔港小区,2,37.8,周家嘴路,6,60846,230,29
竹园新村(浦东),1,33.75,源深,6,88888,300,28
西南小区,3,51.49,曲阳,6,69916,360,35
鞍山一村,3,61.58,鞍山,5,68203,420,39
北华苑,3,68.75,大华,6,57454,395,20
祁连二村,2,43.01,上大,6,53010,228,23
竹园高层,3,65.72,源深,26,69993,460,25
虹桥新城,4,107.47,中山公园,11,80859,869,17
新泾三村,2,40.18,北新泾,6,63464,255,32
上南大厦,2,59.65,世博,24,56999,340,19
翠竹苑,3,64.65,三林,6,47950,310,20
临沂七村,2,36.67,南码头,6,57812,212,27
西南小区,3,44.39,曲阳,6,76593,340,35
保利西子湾,2,59.83,松江大学城,14,47634,285,8
永和二村,3,49.42,永和,6,58680,290,22
曲一花苑,3,56.79,曲阳,12,78358,445,34
光启路105号,2,35.65,豫园,7,93969,335,25
瑞虹新城(一期),3,51.24,临平路,39,106362,545,15
御上海,5,132.08,松江大学城,18,40505,535,8
嘉富丽苑,4,91.45,龙柏,14,65609,600,14
兴泉小区,2,41.59,彭浦,6,52897,220,22
东安二村,1,37.0,徐家汇,6,75675,280,42
武夷花园,5,136.83,中山公园,12,89892,1230,15
华夏二路201弄,4,81.96,川沙,6,41483,340,22
愉景华庭,3,62.46,万里,23,72046,450,10
上海知音苑,5,134.0,长寿路,16,87313,1170,16
昌鑫家园,3,73.0,通河,6,54794,400,17
由由三村,2,46.54,北蔡,6,61882,288,20
越秀苑,5,124.55,不夜城,27,64231,800,17
梧桐城邦三期,3,68.21,大华,7,68904,470,7
建西小区,1,31.68,建国西路,6,157828,500,33
莱茵半岛,5,139.43,中原,17,68134,950,14
国定路600弄,3,49.9,五角场,6,64128,320,32
大华清水湾,5,150.41,武宁,18,82441,1240,13
樱花园(徐汇),2,46.0,康健,6,69565,320,26
淞南三村,2,42.08,淞南,6,47053,198,22
场中路2401弄,2,37.96,彭浦,6,52687,200,30
经纬阳光水岸家园(一期),5,129.57,上大,13,51709,670,12
清馨苑,4,81.41,颛桥,6,47291,385,17
康乐花园(闵行),4,93.0,老闵行,6,29032,270,18
昌四小区,3,65.24,世博,6,57480,375,21
茅台新苑,2,73.89,仙霞,12,67668,500,27
通河四村,3,59.0,通河,7,48813,288,20
田林七村,2,47.0,田林,6,67021,315,35
紫腾苑小区,2,41.96,桃浦,6,42897,180,21
海东公寓,4,83.44,北蔡,6,56327,470,20
川沙路5245弄,3,72.0,川沙,6,38194,275,24
恒盛苑,5,137.62,金虹桥,18,82110,1130,13
丰庄十四街坊,2,51.98,丰庄,6,47133,245,17
潍坊一村,2,30.5,潍坊,6,90163,275,22
瑞丰园,3,62.81,上大,11,49355,310,12
龙山新村,2,44.46,万体馆,6,71974,320,29
梅园三村,3,61.68,源深,6,89169,550,34
世纪苑,5,169.04,梅陇,12,66848,1130,15
美丽家园,4,96.35,莘庄,6,42760,412,19
春申府邸,4,82.24,莘庄,11,58365,480,10
浅水湾恺悦名城,5,120.5,长寿路,19,114522,1380,7
凌兆新村(上浦路510弄),3,57.5,三林,6,54782,315,23
双辽新村,2,45.23,鞍山,7,69644,315,25
淞南六村,2,46.08,淞南,6,47743,220,23
美岸栖庭(公寓),2,55.39,高境,6,63188,350,12
绿厦小区,2,44.05,西藏北路,9,65834,290,35
谈家桥路163弄,2,44.0,大宁,6,61363,270,26
莲花公寓(闵行),3,83.87,古美,5,63193,530,17
三佳花苑,3,52.79,七宝,6,69141,365,22
长寿苑,5,158.27,长寿路,20,51178,810,17
金塔新村,3,62.68,颛桥,6,39087,245,23
新市家园,3,58.48,江湾镇,6,56087,328,22
牡丹小区(浦东),2,52.05,花木,6,88376,460,20
宏凯公寓,4,97.47,鲁迅公园,25,62583,610,19
金杨新村九街坊,3,63.07,金杨,6,57079,360,23
金禾新苑,3,72.0,三林,11,61111,440,11
远中风华园(公寓),5,159.16,南京西路,20,125659,2000,10
锦三角花园(公寓),5,134.84,北蔡,11,71195,960,15
市政馨苑,3,74.93,真如,7,66728,500,18
临沂八村,2,36.48,南码头,6,54824,200,28
奥森公寓,5,161.24,金虹桥,15,41552,670,18
振华大楼,3,64.64,人民广场,20,85086,550,29
万峰梦湖苑,5,106.07,凉城,6,66465,705,14
控江西三村,2,50.59,黄兴公园,6,59300,300,24
东安一村,4,110.49,徐家汇,4,63354,700,18
唐家沙小区,2,29.22,闸北公园,6,67761,198,35
长白三村,2,44.24,黄兴公园,6,70072,310,38
加州水郡,5,161.91,新江湾城,20,83379,1350,7
澳门公寓,5,109.24,长寿路,20,64079,700,19
双辽支路70弄,2,39.49,鞍山,7,60774,240,26
恒达公寓,4,113.68,长寿路,24,65974,750,20
绿波城,2,59.78,唐镇,6,49347,295,11
铁岭路90弄,2,57.0,鞍山,6,73684,420,37
仁恒广场,5,152.94,塘桥,23,60154,920,21
静鼎安邦府邸(别墅),8,343.0,曹家渡,10,134110,4600,11
控江路680弄,2,37.19,控江路,5,61844,230,36
银都新村(1至7区),2,42.26,颛桥,6,48035,203,21
曹杨九村,3,44.15,曹杨,6,63420,280,39
千鹤小区,4,78.87,田林,23,65931,520,19
虹梅小区,3,62.65,漕河泾,6,59058,370,22
乾溪新村,2,45.39,大场镇,6,48468,220,23
环镇北路400弄,2,43.13,大场镇,6,45907,198,22
东体小区,3,41.66,曲阳,6,76812,320,34
金杨新村十街坊,3,49.69,金杨,6,59971,298,22
潍坊九村,2,37.01,潍坊,6,112672,417,31
控江路1525弄,2,39.49,周家嘴路,7,65839,260,24
锦秋花园(别墅),6,142.52,上大,3,53325,760,13
华高一村,2,57.51,高行,6,46774,269,21
天山华庭,4,80.07,天山,18,96165,770,8
利西路277号,3,49.88,中山公园,6,75180,375,36
延西小区,3,54.17,新华路,6,71995,390,28
财大小区,6,76.28,五角场,6,64892,495,22
栖山小区,1,27.52,洋泾,3,68313,188,28
安源小区,4,93.89,不夜城,21,73490,690,20
上海花城,5,129.91,中山公园,18,75436,980,16
临沂六村,3,59.4,南码头,6,55555,330,25
西谈家渡路17弄,3,62.01,武宁,7,62893,390,27
紫腾苑小区,2,54.0,桃浦,7,42592,230,18
宛南华侨新村,4,86.0,龙华,6,68372,588,36
康泉小区,1,32.26,彭浦,6,53316,172,22
青春驿站,2,40.23,九亭,13,51702,208,10
祥东小区(虹口),2,43.81,曲阳,6,71901,315,35
香溢花城(住宅),4,105.71,光新,25,81354,860,11
中远两湾城,4,111.63,中远两湾城,34,67186,750,12
新黄小区,2,35.23,甘泉宜川,5,51092,180,42
环球翡翠湾花园(公寓),5,137.0,三林,16,74452,1020,11
金杨新村九街坊,4,64.19,金杨,6,56862,365,23
红庄小区,3,62.45,新华路,18,89671,560,27
白雪公主,5,115.0,七宝,11,59130,680,13
南文大厦,6,145.12,老西门,27,84068,1220,17
上南十一村,2,42.3,世博,6,57919,245,24
滨江名人苑,5,147.02,黄浦滨江,31,93864,1380,14
毕加索小镇(一期)(公寓),3,60.03,唐镇,8,69132,415,7
凌云公寓,3,75.96,三林,18,53975,410,19
香山苑,4,101.7,曹杨,24,67846,690,18
紫腾苑小区,1,33.38,桃浦,7,49430,165,19
大木桥路450弄,3,49.91,斜土路,6,79142,395,35
锦绣江南(一期),8,133.5,金汇,6,71161,950,15
瞿溪新村,1,29.8,世博滨江,6,82550,246,53
大运盛城,5,129.88,控江路,10,69140,898,16
中凯城市之光(静安),3,83.79,南京西路,34,101444,850,14
永吉路97弄,3,67.9,控江路,7,61119,415,24
罗阳七村,2,37.1,梅陇,6,54447,202,23
长风二村风荷园,1,28.71,长风,6,65482,188,34
日晖二村,2,53.1,斜土路,6,53672,285,63
里昂花园,5,159.28,古北,13,57759,920,21
控江四村,1,31.82,黄兴公园,5,58139,185,30
中信泰富又一城,4,89.86,嘉定新城,36,38393,345,6
东明苑,3,76.93,世博,24,64344,495,19
凯旋都市花园,4,111.36,新华路,33,76329,850,13
天山星城,3,75.27,天山,18,92998,700,11
长新大楼,2,40.26,人民广场,21,96870,390,30
牡丹小区(浦东),2,37.75,花木,6,79470,300,21
控江路740弄,2,45.0,控江路,5,62222,280,38
凤凰小区,4,64.87,松江老城,6,34838,226,32
红旗五村,3,52.82,老闵行,4,33888,179,30
友谊新村,2,53.42,周家嘴路,6,65518,350,32
上南大厦,2,59.65,世博,24,50293,300,19
南方新村,2,47.43,古美,6,60721,288,24
晨光公寓,4,89.33,川沙,6,41979,375,22
三门路358弄,2,42.87,五角场,7,51317,220,23
竹园高层,3,65.72,源深,26,70754,465,25
滨江雅苑,5,132.21,大华,10,62022,820,12
芳草路352弄,3,67.58,北蔡,6,56969,385,23
旬阳新村,1,31.44,光新,6,57251,180,29
万里名轩,4,100.17,万里,10,63891,640,18
翰锦苑,4,98.0,三林,13,63265,620,14
峨山路605弄,3,53.07,塘桥,6,67834,360,25
仲信苑,3,64.25,中山公园,6,105836,680,18
黎明花园,2,41.3,七宝,6,52058,215,22
菊泉新城(菊盛路50弄),4,82.22,顾村,14,36487,300,12
大运盛城,4,98.04,控江路,16,74969,735,15
靖宇东路85弄,3,82.4,黄兴公园,7,63106,520,22
富特三村,3,57.15,外高桥,6,48993,280,23
三泉安居苑,3,61.43,彭浦,6,55835,343,21
品华苑,2,67.86,三林,6,53050,360,18
凤城三村,2,33.28,控江路,6,62500,208,25
大华一村,2,43.9,大华,6,56947,250,27
古美西路316弄,2,54.63,古美,6,55464,303,21
彭顺小区,2,44.53,彭浦,6,52099,232,25
紫荆新苑,4,93.3,世博滨江,6,87888,820,19
久阳滨江公寓,3,78.0,陆家嘴,25,80128,625,11
公园3000黄兴花园,4,110.98,黄兴公园,7,78392,870,15
国顺路310弄,3,50.49,五角场,6,71301,360,37
市京一村,3,60.67,中原,6,59337,360,22
金汇名人苑三街坊,6,156.48,金汇,7,47929,750,21
万科优诗美地,4,85.0,七宝,11,62352,530,17
竹园高层,3,70.04,源深,22,67104,470,24
潍坊八村,2,40.8,潍坊,6,83333,340,33
文华苑(宝山),2,55.22,大华,6,57044,315,19
绿地蔷薇九里(公寓),5,109.73,松江大学城,11,41921,460,6
龙华雅居,5,107.91,龙华,7,72282,780,19
中华别墅,4,81.0,虹桥,4,79012,640,32
中福花苑,5,68.33,蓬莱公园,15,100980,690,14
保利西子湾,2,59.7,松江大学城,18,44891,268,7
未来域,5,133.76,三林,18,64294,860,11
徐家汇花园,5,158.97,徐家汇,26,95615,1520,14
新昌里公寓,5,94.7,世博,6,78141,740,12
阳城世家苑,4,96.82,阳城,14,70233,680,10
银都一村,2,35.15,彭浦,6,53485,188,22
四元路20弄,2,41.85,月浦,6,35364,148,23
绿地蔷薇九里(别墅),5,131.0,松江大学城,3,53435,700,7
茶陵小区,2,45.37,斜土路,4,62816,285,59
上海阳城,4,93.2,梅陇,6,67381,628,14
华一新城,3,80.0,古美,5,74375,595,16
三湘盛世花园,4,103.33,张庙,14,56130,580,11
南园小区,3,64.52,打浦桥,29,73620,475,23
民悦苑,3,74.42,张庙,6,49045,365,19
宣化路227号,3,68.53,中山公园,7,83175,570,27
淞南五村,3,69.44,淞南,6,43202,300,20
顺驰美兰湖,4,95.29,罗店,6,36729,350,10
上南一村,3,67.27,世博,6,62137,418,35
东方曼哈顿,4,85.11,徐家汇,37,123369,1050,16
双山小区,1,34.85,甘泉宜川,6,53084,185,22
金沙雅苑(三期),4,96.63,长征,18,77098,745,13
静安新城四区,3,86.05,静安新城,24,55200,475,19
百花村,4,74.83,新华路,6,78845,590,36
世华佳苑,5,135.0,杨行,6,46518,628,12
彭新小区,2,42.65,彭浦,13,55803,238,30
共富一村,3,75.6,共富,6,40343,305,20
新凯家园,3,77.78,泗泾,6,39856,310,11
嘉嘉大楼,5,146.0,建国西路,17,95205,1390,17
蒋家桥小区,1,38.92,曲阳,6,71428,278,31
新凯家园,5,93.12,泗泾,5,34901,325,11
嘉汇广场,5,145.0,徐家汇,33,60689,880,20
曹杨九村,2,42.93,曹杨,6,64057,275,39
欧阳路317号,2,42.66,鲁迅公园,6,70323,300,19
缘圆宝邸,4,72.91,江桥,7,50747,370,9
宛南二村,2,44.78,龙华,4,69227,310,59
绿洲康城亲水湾(东区),5,130.23,御桥,14,52215,680,7
中远两湾城,5,121.95,中远两湾城,30,72160,880,14
金钟小区,2,37.46,北新泾,6,58729,220,22
平阳新村四街坊,3,60.63,古美,6,52779,320,19
银都新村(1至7区),2,42.7,颛桥,6,48009,205,22
泰山一村,2,45.98,甘泉宜川,6,56546,260,35
里昂花园,5,160.86,古北,11,55949,900,21
密二小区,3,55.57,曲阳,6,69281,385,37
爱邦大厦,4,96.41,徐家汇,29,47609,459,28
金泰园,2,48.22,淞宝,5,40439,195,36
裕德大厦,4,95.61,徐家汇,24,83568,799,20
昌四小区,1,29.0,世博,6,70689,205,23
西湖新村,3,51.5,朱家角,5,31067,160,8
红旗四街坊,3,77.2,老闵行,6,36269,280,21
太浜巷小区,2,43.52,光新,6,60891,265,30
高境一村,3,65.65,高境,6,50266,330,22
梧桐城邦(二期),3,54.09,大华,6,57311,310,9
御翠豪庭,4,104.28,古北,27,124664,1300,9
永兆豪庭,5,135.01,漕河泾,18,79994,1080,9
沧源小区,2,40.15,老闵行,6,45579,183,22
未来域,5,128.83,三林,7,64425,830,11
北蒙三小区,2,42.6,五里桥,7,83333,355,28
静安风华苑,4,122.77,曹家渡,32,77380,950,12
新世纪广场,5,168.0,虹桥,19,52261,878,22
金沙雅苑(四期),4,111.02,长征,11,66654,740,11
长中小区,3,56.26,新华路,6,70920,399,27
生安花苑,5,205.07,源深,11,73145,1500,16
新长征花苑,3,64.96,长征,6,59267,385,20
平阳三街坊,4,70.2,古美,6,68376,480,14
翔殷路491弄,1,33.18,黄兴公园,6,63291,210,24
嘉和阳光城,5,130.57,九亭,14,48249,630,11
彭浦家园,5,137.24,彭浦,18,47362,650,16
汇元坊,5,131.53,黄兴公园,7,70706,930,15
蒙西小区,1,37.74,五里桥,7,82140,310,23
民主花园,3,73.68,张庙,18,48859,360,21
桃林一小区,2,48.01,源深,6,114559,550,22
华侨城,4,86.41,长寿路,34,111098,960,3
新梅绿岛苑,4,91.24,共康,18,56992,520,10
武泰公寓,5,122.1,南京西路,24,81900,1000,17
控江东三村,2,39.36,黄兴公园,6,62245,245,24
逸居苑,4,77.56,淞南,6,58664,455,9
富源公寓,4,105.04,打浦桥,28,79017,830,20
慧芝湖花园,4,109.45,大宁,31,84970,930,10
旺族家园,4,110.36,川沙,6,37151,410,16
粤秀苑,4,74.15,大宁,7,60687,450,20
华敏世纪广场,5,137.49,镇宁路,18,70550,970,16
枫林新村,3,53.57,斜土路,5,74668,400,40
潍坊四村,2,40.63,潍坊,6,72606,295,35
今达花园,4,112.27,金桥,11,65021,730,16
仁恒滨江园,4,83.78,陆家嘴,26,125328,1050,16
四和花园,3,57.72,曹家渡,25,107415,620,23
澳门小区,2,30.75,长寿路,6,97560,300,30
辽源三村,1,31.7,鞍山,6,63091,200,30
凤城五村,2,38.53,控江路,6,64884,250,29
南湖新村,3,53.25,朱家角,6,43192,230,21
同济路60弄,2,45.06,淞宝,5,37727,170,32
新凯家园,5,92.94,泗泾,5,36044,335,11
乐山大楼,3,63.92,徐家汇,24,78222,500,24
杜鹃园,3,63.9,康健,6,69640,445,27
上海绿城,2,64.78,杨东,22,108058,700,10
橡胶小区,2,47.74,徐家汇,24,79597,380,24
竹园高层,3,64.56,源深,22,75123,485,28
香樟苑(浦东),3,65.29,三林,6,55138,360,20
康怡苑,3,70.32,长寿路,26,73947,520,27
甘泉二村,3,52.93,甘泉宜川,6,53466,283,23
上南十村,3,49.23,世博,6,63985,315,26
平型关路230弄,3,58.44,闸北公园,6,53901,315,30
吴兴路30弄,4,67.99,衡山路,6,126489,860,34
好世凤凰城,7,173.99,颛桥,6,54485,948,14
荣乐三村,5,76.23,松江老城,6,36075,275,25
吉浦路615弄,3,58.45,高境,6,52181,305,21
锦绿新城,4,100.82,武宁,32,76869,775,15
虹桥豪苑,5,178.82,虹桥,37,83883,1500,11
花园城,4,94.98,凉城,6,81069,770,15
三林安居苑,4,73.0,三林,5,56164,410,19
经纬阳光水岸家园(一期),2,60.79,上大,8,53462,325,12
延吉五村,3,50.0,黄兴公园,6,64000,320,32
四季全景台,6,212.65,花木,21,95462,2030,12
西镇小区(浦东),2,38.79,洋泾,6,64449,250,26
愚园路488弄,2,48.35,静安寺,6,98241,475,34
宝宸怡景园,4,87.62,共康,14,62771,550,8
桃浦二村永汇新苑,5,95.41,桃浦,6,45068,430,12
静安枫景苑,8,249.45,江宁路,38,104229,2600,12
中芯花园(公寓),5,129.43,张江,15,58718,760,14
奔腾新干线,2,37.15,西藏北路,32,74024,275,14
控江一村,3,63.0,控江路,5,95238,600,18
昌四小区,2,36.47,世博,6,62517,228,23
新凯家园,5,97.93,泗泾,11,37271,365,11
梅园三村,3,52.56,源深,5,84665,445,34
茅台雅苑,3,69.94,仙霞,24,74349,520,25
丰庄十四街坊,2,44.74,丰庄,6,50290,225,19
三湘四季花城,4,106.0,松江大学城,14,46981,498,11
竹园新村(浦东),3,53.54,源深,6,84049,450,30
乐山一村,3,74.81,徐家汇,24,82876,620,26
康平小区,1,35.6,彭浦,6,49157,175,31
复元坊,1,33.12,西藏北路,6,74879,248,24
仙逸小区,2,40.0,仙霞,6,62500,250,33
伟业金锦苑一村,5,106.91,金桥,6,53315,570,14
凯旋花苑,4,113.18,徐家汇,28,92772,1050,18
远虹大厦,3,70.97,临平路,30,64816,460,22
海华花园,5,117.89,打浦桥,35,78038,920,21
中房公寓,3,58.44,江桥,7,47912,280,12
新家坡美树馆,5,160.16,建国西路,30,84290,1350,18
菊园,5,120.08,陆家嘴,34,84110,1010,16
金都花好悦园,3,71.12,颛桥,7,43588,310,20
金球花园,5,113.27,七宝,7,46790,530,20
南园新村,2,38.04,打浦桥,6,87276,332,29
开鲁三村,3,62.21,中原,6,57064,355,26
曹杨九村,3,47.8,曹杨,6,62761,300,39
金光小区,2,48.68,三林,6,61626,300,20
平顺小区,2,53.61,彭浦,6,52229,280,32
赤峰小区,3,69.05,曲阳,24,69514,480,29
控江四村,2,33.27,黄兴公园,6,64622,215,27
闻喜小区,2,45.0,彭浦,6,52222,235,31
荷三小区,3,67.39,金桥,6,54162,365,23
罗山五村,2,42.3,金杨,6,57919,245,27
锦泰苑,4,83.13,上大,6,43907,365,17
三林新村(永泰路468弄),4,83.73,三林,18,52549,440,8
新梅公寓,5,130.9,古美,7,48892,640,18
龙柏二村,3,52.3,龙柏,6,61185,320,23
中凯城市之光(静安),3,79.47,南京西路,34,96891,770,14
由由一村,4,75.21,北蔡,6,57173,430,23
人乐一村,3,55.65,松江老城,6,38274,213,36
海华花园,5,115.22,打浦桥,33,77243,890,23
荣丰花园,2,46.17,东外滩,6,74940,346,22
徐家汇花园,4,118.85,徐家汇,22,90870,1080,17
苏家巷小区,1,34.37,不夜城,6,71283,245,31
新凯家园,5,93.12,泗泾,5,34149,318,11
平顺小区,1,28.31,彭浦,6,56517,160,31
